eggmass,date,session,operator,device,time.sec,count,curly,notes
22,3/10/23,7,Cameron,Ruler,35,3,,
22,3/10/23,7,Cameron,Ruler,17,1,,
22,3/10/23,7,Cameron,Ruler,84,3,,
22,3/10/23,7,Cameron,Ruler,30,3,,
22,3/10/23,7,Cameron,Ruler,20,1,,
22,3/10/23,7,Cameron,Aplysia Bar,63,11,,
22,3/10/23,7,Cameron,Aplysia Bar,75,8,,
22,3/10/23,7,Cameron,Aplysia Bar,51,5,,
22,3/10/23,7,Cameron,Aplysia Bar,25,4,,
22,3/10/23,7,Cameron,Aplysia Bar,29,2,,
22,3/10/23,7,Cameron,Aplysia Bar,31,2,,
22,3/10/23,7,Cameron,Aplysia Bar,31,2,,
22,3/10/23,7,Cameron,Aplysia Bar,27,2,,
22,3/10/23,7,Cameron,Aplysia Bar,29,1,,
22,3/10/23,7,Cameron,Aplysia Bar,26,1,,
22,3/10/23,7,Cameron,Aplysia Bar,43,2,,
22,3/10/23,7,Cameron,Aplysia Bar,19,2,,
22,3/10/23,7,Cameron,Aplysia Bar,88,4,,
22,3/10/23,7,Cameron,Aplysia Bar,18,1,,
24,3/10/23,7,Cameron,Ruler,39,4,,
24,3/10/23,7,Cameron,Ruler,65,6,,
24,3/10/23,7,Cameron,Ruler,46,4,,
24,3/10/23,7,Cameron,Ruler,34,2,,
24,3/10/23,7,Cameron,Ruler,19,1,,
24,3/10/23,7,Cameron,Ruler,45,2,,
24,3/10/23,7,Cameron,Ruler,46,3,,
24,3/10/23,7,Cameron,Ruler,45,4,,
24,3/10/23,7,Cameron,Ruler,33,4,,
24,3/10/23,7,Cameron,Ruler,38,3,,
24,3/10/23,7,Cameron,Ruler,16,2,,
24,3/10/23,7,Cameron,Ruler,36,3,,
24,3/10/23,7,Cameron,Ruler,24,2,,
24,3/10/23,7,Cameron,Ruler,48,6,,
24,3/10/23,7,Cameron,Ruler,31,3,,
24,3/10/23,7,Cameron,Ruler,63,3,,
24,3/10/23,7,Cameron,Ruler,27,3,,
24,3/10/23,7,Cameron,Ruler,44,4,,
24,3/10/23,7,Cameron,Ruler,31,3,,
24,3/10/23,7,Cameron,Ruler,26,3,,
24,3/10/23,7,Cameron,Ruler,30,1,,
24,3/10/23,7,Cameron,Ruler,48,2,,
24,3/10/23,7,Cameron,Ruler,14,2,,
24,3/10/23,7,Cameron,Aplysia Bar,34,5,,
24,3/10/23,7,Cameron,Aplysia Bar,52,7,,
24,3/10/23,7,Cameron,Aplysia Bar,63,8,,
24,3/10/23,7,Cameron,Aplysia Bar,44,7,,
